  1   4     2.50    -0.10
  2  16     3.00     1.20
  3  28     3.50     2.50
  4  40     4.00     3.80
  5  52     4.50     5.10
  6  64     5.00     6.40
  7  76     5.50     7.70
  8  88     6.00     9.00
  9 100     7.00    -4.00
 10 112     7.50    -2.70
