	Species	Isotopologue		HITRAN		HITEMP			Exomol		
1	H2O	1H2-16O			0	HITRAN	1	HITEMP	0	POKAZATEL	0	BT2
1	H2O	1H2-18O			0	HITRAN	1	HITEMP	0	HotWat78		
1	H2O	1H2-17O			0	HITRAN	1	HITEMP	0	HotWat78		
1	H2O	1H-2H-16O		0	HITRAN	1	HITEMP	0	VTT		
1	H2O	1H-2H-18O		0	HITRAN	1	HITEMP				
1	H2O	1H-2H-17O		0	HITRAN	1	HITEMP				
1	H2O	2H2-16O			0	HITRAN	1	HITEMP				
2	CO2	12C-16O2		0	HITRAN	1	HITEMP	0	UCL-4000				
2	CO2	13C-16O2		0	HITRAN	1	HITEMP				
2	CO2	16O-12C-18O		0	HITRAN	1	HITEMP				
2	CO2	16O-12C-17O		0	HITRAN	1	HITEMP				
2	CO2	16O-13C-18O		0	HITRAN	1	HITEMP				
2	CO2	16O-13C-17O		0	HITRAN	1	HITEMP				
2	CO2	12C-18O2		0	HITRAN	1	HITEMP				
2	CO2	17O-12C-18O		0	HITRAN	1	HITEMP				
2	CO2	12C-17O2		0	HITRAN	1	HITEMP				
2	CO2	13C-18O2		0	HITRAN	1	HITEMP				
2	CO2	18O-13C-17O		0	HITRAN	1	HITEMP				
2	CO2	13C-17O2		0	HITRAN	1	HITEMP				
3	O3	16O3			1	HITRAN						
3	O3	16O-16O-18O		1	HITRAN						
3	O3	16O-18O-16O		1	HITRAN						
3	O3	16O-16O-17O		1	HITRAN						
3	O3	16O-17O-16O		1	HITRAN						
4	N2O	14N2-16O		0	HITRAN	1	HITEMP				
4	N2O	14N-15N-16O		0	HITRAN	1	HITEMP				
4	N2O	15N-14N-16O		0	HITRAN	1	HITEMP				
4	N2O	14N2-18O		0	HITRAN	1	HITEMP				
4	N2O	14N2-17O		0	HITRAN	1	HITEMP				
5	CO	12C-16O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	13C-16O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	12C-18O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	12C-17O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	13C-18O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	13C-17O			0	HITRAN	1	HITEMP	0	Li2015		
6	CH4	12C-1H4			0	HITRAN	1	HITEMP	0	YT34to10	0	YT10to10
6	CH4	13C-1H4			0	HITRAN	1	HITEMP				
6	CH4	12C-1H3-2H		0	HITRAN	1	HITEMP				
6	CH4	13C-1H3-2H		0	HITRAN	1	HITEMP				
7	O2	16O2			1	HITRAN						
7	O2	16O-18O			1	HITRAN						
7	O2	16O-17O			1	HITRAN						
8	NO	14N-16O			0	HITRAN	1	HITEMP	0	NOname		
8	NO	15N-16O			0	HITRAN	1	HITEMP	0	NOname		
8	NO	14N-18O			0	HITRAN	1	HITEMP	0	NOname		
8	NO	15N-18O							0	NOname		
8	NO	14N-17O							0	NOname		
9	SO2	32S-16O2		1	HITRAN			0	ExoAmes		
9	SO2	34S-16O2		1	HITRAN
9	SO2	33S-16O2		1	HITRAN
9	SO2	16O-32S-18O		1	HITRAN
10	NO2	14N-16O2		0	HITRAN	1	HITEMP
10	NO2	15N-16O2		0	HITRAN	1	HITEMP
10	NO2	14N-16O-18O		0	HITRAN	1	HITEMP
11	NH3	14N-1H3			1	HITRAN			0	CoYuTe		0	BYTe
11	NH3	15N-1H3			1	HITRAN			0	BYTe-15		
12	HNO3	1H-14N-16O3		1	HITRAN			0	AIJS		
12	HNO3	1H-15N-16O3		1	HITRAN						
13	OH	16O-1H			0	HITRAN	1	HITEMP	0	MoLLIST		
13	OH	18O-1H			0	HITRAN	1	HITEMP				
13	OH	16O-2H			0	HITRAN	1	HITEMP				
14	HF	1H-19F		 	1	HITRAN			0	Coxon-Hajig		
14	HF	2H-19F			1	HITRAN						
15	HCl	1H-35Cl			1	HITRAN						
15	HCl	1H-37Cl			1	HITRAN						
15	HCl	2H-35Cl			1	HITRAN						
15	HCl	2H-37Cl			1	HITRAN						
16	HBr	1H-79Br			1	HITRAN						
16	HBr	1H-81Br			1	HITRAN						
16	HBr	2H-79Br			1	HITRAN						
16	HBr	2H-81Br			1	HITRAN						
17	HI	1H-127I			1	HITRAN						
17	HI	2H-127I			1	HITRAN						
18	ClO	35Cl-16O		1	HITRAN						
18	ClO	37Cl-16O		1	HITRAN						
19	OCS	16O-12C-32S		1	HITRAN						
19	OCS	16O-12C-34S		1	HITRAN						
19	OCS	16O-13C-32S		1	HITRAN						
19	OCS	16O-12C-33S		1	HITRAN						
19	OCS	18O-12C-32S		1	HITRAN
19	OCS	16O-13C-34S		1	HITRAN						
20	H2CO	1H2-12C-16O		1	HITRAN				0	AYTY		
20	H2CO	1H2-13C-16O		1	HITRAN						
20	H2CO	1H2-12C-18O		1	HITRAN						
