Table 1 from "Electron Radiative Transitions in a Coulomb Field", W.J.Karzas & R.Latter, Astrophysical Journal Supplement, vol. 6, p.167, May 1961
doi:10.1086/190063
© AAS. Reproduced with permission

E	hν	n=1	hν	n=2	hν	n=3	hν	n=4	hν	n=5		n=6		n=7		n=8		n=10
.1562D1	.2562D1	.9721D0	.1812D1	.1061D1	.1673D1	.1083D1	.1625D1	.1091D1	.1602D1	.1095D1	.1590D1	.1097D1	.1582D1	.1098D1	.1578D1	.1099D1	.1572D1	.1100D1
.1235D1	.2235D1	.9571D0	.1485D1	.1056D1	.1346D1	.1081D1	.1297D1	.1091D1	.1275D1	.1095D1	.1263D1	.1098D1	.1255D1	.1099D1	.1251D1	.1100D1	.1245D1	.1102D1
.1000D1	.2000D1	.9423D0	.1250D1	.1049D1	.1111D1	.1078D1	.1062D1	.1089D1	.1040D1	.1094D1	.1028D1	.1097D1	.1020D1	.1099D1	.1016D1	.1100D1	.1010D1	.1101D1
.6944D0	.1694D1	.9157D0	.9444D0	.1033D1	.8056D0	.1068D1	.7569D0	.1082D1	.7344D0	.1089D1	.7222D0	.1092D1	.7149D0	.1095D1	.7101D0	.1096D1	.7044D0	.1098D1
.4444D0	.1444D1	.8850D0	.6944D0	.1009D1	.5556D0	.1051D1	.5069D0	.1069D1	.4844D0	.1078D1	.4722D0	.1083D1	.4649D0	.1086D1	.4601D0	.1088D1	.4544D0	.1091D1
.2500D0	.1250D1	.8531D0	.5000D0	.9755D0	.3611D0	.1024D1	.3125D0	.1047D1	.2900D0	.1060D1	.2778D0	.1067D1	.2704D0	.1071D1	.2656D0	.1074D1	.2600D0	.1078D1
.1111D0	.1111D1	.8246D0	.3611D0	.9342D0	.2222D0	.9854D0	.1736D0	.1014D1	.1511D0	.1030D1	.1389D0	.1041D1	.1315D0	.1047D1	.1267D0	.1052D1	.1211D0	.1058D1
.4000D-1	.1040D1	.8076D0	.2900D0	.9011D0	.1511D0	.9458D0	.1025D0	.9736D0	.8000D-1	.9925D0	.6778D-1	.1006D1	.6041D-1	.1015D1	.5562D-1	.1022D1	.5000D-1	.1032D1
.2041D-1	.1020D1	.8026D0	.2704D0	.8896D0	.1315D0	.9293D0	.8291D-1	.9542D0	.6041D-1	.9719D0	.4819D-1	.9851D0	.4082D-1	.9952D0	.3603D-1	.1003D1	.3041D-1	.1014D1
.1000D-1	.1010D1	.7999D0	.2600D0	.8830D0	.1211D0	.9189D0	.7250D-1	.9408D0	.5000D-1	.9563D0	.3778D-1	.9682D0	.3041D-1	.9776D0	.2562D-1	.9853D0	.2000D-1	.9970D0
.4444D-2	.1004D1	.7985D0	.2541D0	.8793D0	.1156D0	.9128D0	.6694D-1	.9323D0	.4444D-1	.9458D0	.3222D-1	.9560D0	.2485D-1	.9641D0	.2007D-1	.9708D0	.1444D-1	.9814D0
.2500D-2	.1002D1	.7980D0	.2525D0	.8779D0	.1136D0	.9105D0	.6500D-1	.9291D0	.4250D-1	.9416D0	.3028D-1	.9509D0	.2291D-1	.9582D0	.1812D-1	.9642D0	.1250D-1	.9737D0
.1111D-2	.1001D1	.7976D0	.2511D0	.8770D0	.1122D0	.9089D0	.6361D-1	.9267D0	.4111D-1	.9385D0	.2889D-1	.9470D0	.2152D-1	.9535D0	.1674D-1	.9588D0	.1111D-1	.9666D0
